Company Name,Near term - Target Year search terms,Long term - Target Year search terms,Net-Zero Year search terms,variable,value,Near term - Target Year match,Long term - Target Year match,Net-Zero Year match
Intermediate Capital Group,"['2026', '2030']",,,0,ICG commits that 50% of its relevant Structured and Private Equity and Real Assets direct investments by invested capital will have set science-based targets by 2026 and 100% by 2030 from a 2021 base year,x,,
Intermediate Capital Group,"['2026', '2030']",,,1,ICG’s portfolio targets cover 22,,,
Intermediate Capital Group,"['2026', '2030']",,,2,5% of total  investment and lending activities as of June 2021,,,
Intermediate Capital Group,"['2026', '2030']",,,3,Full target: https://sciencebasedtargets.org/resources/files/ICG_final,,,
Intermediate Capital Group,"['2026', '2030']",,,4,pdf,,,
International Flavors & Fragrances Inc.,['2025'],,,0,"American producer of flavors and fragrances and cosmetic actives International Flavors & Fragrances, Inc",,,
International Flavors & Fragrances Inc.,['2025'],,,1,"commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2025, from a 2015 base-year",x,,
International Flavors & Fragrances Inc.,['2025'],,,2,"International Flavors & Fragrances, Inc",,,
International Flavors & Fragrances Inc.,['2025'],,,3,", also commits to working with its suppliers (representing 70% of its supply chain emissions) so that they set their own science-based reduction targets and report annual emissions by 2025",x,,
International Paper Company,['2030'],,,0,"International Paper commits to reduce absolute scope 1, 2 and 3 GHG emissions 35% by 2030 from a 2019 base year",x,,
International Paper Company,['2030'],,,1,"Within this target, International Paper commits to reduce absolute scope 1 and 2 GHG emissions 32",,,
International Paper Company,['2030'],,,2,"8%,* and to reduce absolute scope 3 GHG emissions 35",,,
International Paper Company,['2030'],,,3,7% by 2030 from a 2019 base year,x,,
International Paper Company,['2030'],,,4,*The target boundary includes bioenergy emissions and removals from bioenergy feedstocks,,,
International Post Corporation (IPC),['2025'],,,0,"IPC, a global cooperative association of 24 member postal operators, commits to reduce emissions 20% per letter and parcel delivery by 2025, from a 2013 base-year (scopes 1, 2 and 3)",x,,
International Post Corporation (IPC),['2025'],,,1,IPC recommends that its member postal operators submit their individual targets to SBT for official quality checks,,,
International Post Corporation (IPC),['2025'],,,2,Read the IPC Case Study,,,
Internet Fusion Ltd,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Internet Fusion Ltd,['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/,,,
Internet Fusion Ltd,['2030'],,,2,Internet Fusion Ltd,,,
Internet Fusion Ltd,['2030'],,,3,"commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
Intrepid Travel,['2035'],,,0,Intrepid Travel commits to reduce absolute scope 1 and 2 greenhouse gas emissions 71% by 2035 from a 2018 base year,x,,
Intrepid Travel,['2035'],,,1,Intrepid Travel also commits to reduce scope 3 greenhouse gas emissions from its offices by 34% per full-time equivalent and from its trips by 56% per passenger day over the same period,,,
Intuit,"['2025', '2030']",,,0,"Business and financial software company Intuit commits to reduce absolute scope 1, 2 and 3 GHG emissions 50% by 2025 from a 2012 base year",x,,
Intuit,"['2025', '2030']",,,1,Intuit commits to increase annual sourcing of renewable electricity from 32% in 2015 to 100% by 2030,x,,
Investa Office Management Pty Limited,['2030'],,,0,"Australian commercial real estate manager, Investa Office Management Pty Limited, commits to reduce absolute scope 1 and 2 GHG emissions 60% per square meter of net lettable area by 2030 and 100% by 2040 from a 2015 base-year",x,,
Investa Office Management Pty Limited,['2030'],,,1,Investa also commits to reduce scope 3 GHG emissions 26 % per net lettable area by 2030 and 42% by 2040 from a 2015 base-year,x,,
Investindustrial,"['2026', '2030']",,,0,Investindustrial commits that 50% of its PE investments by invested capital will have set science-based targets by 2026 and 100% by 2030 from a 2020 base year,x,,
Investindustrial,"['2026', '2030']",,,1,Investindustrial’s portfolio targets cover 98% of total investment and lending activities by Invested Capital as of end of 2021,,,
Investindustrial,"['2026', '2030']",,,2,Full target: https://sciencebasedtargets.org/resources/files/Investindustrial_final,,,
Investindustrial,"['2026', '2030']",,,3,pdf,,,
Ipsen SA,['2030'],,,0,Ipsen commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year,x,,
Ipsen SA,['2030'],,,1,Ipsen also commits to reduce absolute scope 3 GHG emissions 20% within the same timeframe,,,
Iren  Group,['F2030'],,,0,Italian multi-utility Iren Group commits to reduce scope 1 GHG emissions 47% per MWh of electricity generated by 2030 from a 2020 base year,,,
Iren  Group,['F2030'],,,1,Iren Group commits to increase annual sourcing of renewable electricity from 0% in 2020 to 100% by 2030,,,
Iren  Group,['F2030'],,,2,Iren Group also commits to reduce absolute scope 3 GHG emissions from fuel and energy related activities 13% by 2030 from a 2020 base year,,,
Iren  Group,['F2030'],,,3,Iren Group commits to reduce absolute scope 3 GHG emissions from use of sold products 25% by 2030 from a 2020 base year,,,
Irie System Incorporation,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Irie System Incorporation,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Irie System Incorporation commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
Iron Mountain,['2025'],,,0,"American enterprise information management services company Iron Mountain commits to reduce absolute scope 1, 2 and 3 GHG emissions 20% by 2025 from a 2016 base-year",x,,
J McCann & Co Limited,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
J McCann & Co Limited,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ J McCann & Co Limited commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
J Sainsbury plc,['2030'],,,0,Sainsbury’s commits to reduce absolute scope 1 and 2 GHG emissions 50% by FY2030 and 100% by 2040 from a FY2019 base year*,x,,
J Sainsbury plc,['2030'],,,1,"Sainsbury’s commits to reduce absolute scope 3 GHG emissions from purchased goods and services, upstream transport and distribution and the direct use of sold products 30% by FY2030 from a FY2019 base year",x,,
J Sainsbury plc,['2030'],,,2,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
"J. FRONT RETAILING Co., Ltd.","['FY2030', '2030']",,,0,J. FRONT RETAILING Co,,,
"J. FRONT RETAILING Co., Ltd.","['FY2030', '2030']",,,1,", Ltd",,,
"J. FRONT RETAILING Co., Ltd.","['FY2030', '2030']",,,2,commits to reduce absolute scope 1 and 2 GHG emissions 60% by FY2030/31 from a FY2017/18 base year,x,,
"J. FRONT RETAILING Co., Ltd.","['FY2030', '2030']",,,3,J. FRONT RETAILING Co,,,
"J. FRONT RETAILING Co., Ltd.","['FY2030', '2030']",,,4,", Ltd",,,
"J. FRONT RETAILING Co., Ltd.","['FY2030', '2030']",,,5,also commits to reduce absolute scope 3 GHG emissions 40% within the same timeframe,,,
JAB Holding Company,['2030'],,,0,JAB Holding Company’s portfolio target covers 99% of total investment and lending activities as of 2021,,,
JAB Holding Company,['2030'],,,1,Full target: https://sciencebasedtargets.org/resources/files/Target-language-and-summary_JAB.docx,,,
JAB Holding Company,['2030'],,,2,pdf,,,
JAI Overfladebehandling,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
JAI Overfladebehandling,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/  JAI Overfladebehandling A/S commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
JAPAN.DELIVERY.SYSTEM,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
JAPAN.DELIVERY.SYSTEM,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ JAPAN.DELIVERY.SYSTEM commits to reduce scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
"JB Financial Group Co., Ltd.",['2030'],,,0,Headline target: JB Financial Group's portfolio targets cover 19% of its total investment and lending activities as of 2020 (1) (1) The JB Financial Group’s SBT includes an optional SME-loans target,,,
"JB Financial Group Co., Ltd.",['2030'],,,1,https://sciencebasedtargets.org/resources/files/Target-language-and-summary_JB-Financial-Group,,,
"JB Financial Group Co., Ltd.",['2030'],,,2,docx,,,
"JB Financial Group Co., Ltd.",['2030'],,,3,pdf,,,
JD Logistics,"['2030', '2025']",,,0,"JD Logistics commits to reduce absolute scope 1, 2 and 3 GHG emissions 50% by 2030 from a 2019 base year",x,,
JD Logistics,"['2030', '2025']",,,1,"JD Logistics commits that 50% of its suppliers by spend covering all upstream categories, will have science-based targets by 2025",x,,
JD Logistics,"['2030', '2025']",,,2,JD Logistics also commits to increase annual sourcing of renewable electricity from 0% in 2019 to 100% by 2030,x,,
JD Sports Fashion PLC,,,,0,JD Sports Fashion PLC commits to reduce absolute scope 1 and 2 GHG emissions 67,,,
JD Sports Fashion PLC,,,,1,2% by 2035-36 from a 2019-20 base year*,,,
JD Sports Fashion PLC,,,,2,JD Sports Fashion PLC also commits to increase annual sourcing of renewable electricity from 45,,,
JD Sports Fashion PLC,,,,3,9% in 2019-20 to 100% by 2025-26,,,
JD Sports Fashion PLC,,,,4,JD Sports Fashion PLC commits to reduce absolute scope 3 GHG emissions from purchased goods and services 67,,,
JD Sports Fashion PLC,,,,5,2% by 2035-36 from a 2019-20 base year,,,
JD Sports Fashion PLC,,,,6,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
JDE Peet’s N.V.,['2030'],,,0,JDE Peet’s N.V. commits to reduce absolute scope 1 and 2 GHG emissions 25% by 2030 from a 2020 base year,x,,
JDE Peet’s N.V.,['2030'],,,1,* JDE Peet’s N.V. also commits to reduce absolute scope 3 GHG emissions 12,,,
JDE Peet’s N.V.,['2030'],,,2,5% within the same timeframe,,,
JDE Peet’s N.V.,['2030'],,,3,*The target boundary includes biogenic emissions and removals from bioenergy feedstock,,,
"JENEX CO., LTD.","['2030', '2024']",,,0,Japanese Construction and Engineering company JENEX commits to reduce absolute scope 1 and 2 GHG emissions 55% by 2030 from a 2017 base year,x,,
"JENEX CO., LTD.","['2030', '2024']",,,1,JENEX commits that 90% of its suppliers by emissions covering purchased goods and services will have science-based targets by 2024,x,,
JLL,['2030'],['2040'],['2040'],0,JLL commits to reach net-zero greenhouse emissions across the value chain by 2040,,x,x
JLL,['2030'],['2040'],['2040'],1,Near-Term Targets,,,
JLL,['2030'],['2040'],['2040'],2,"JLL commits to reduce absolute scope 1, 2 and 3 GHG emissions 51% by 2030 from a 2018 base year",x,,
JLL,['2030'],['2040'],['2040'],3,Long-Term Targets,,,
JLL,['2030'],['2040'],['2040'],4,"JLL commits to reduce absolute scope 1, 2, and 3 GHG emissions 95% by 2040 from a 2018 base year",,x,x
JT Group Limited,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
JT Group Limited,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/JT Group Limited commits to reduce scope 1 and scope 2 GHG emissions 25% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
Jacobs,"['2030', '2020', '2025']",['2040'],['2040'],0,Overall Net-Zero Target ,,,
Jacobs,"['2030', '2020', '2025']",['2040'],['2040'],1,Jacobs commits to reach net-zero greenhouse gas emissions across the value chain by 2040,,x,x
Jacobs,"['2030', '2020', '2025']",['2040'],['2040'],2,Near-Term Targets,,,
Jacobs,"['2030', '2020', '2025']",['2040'],['2040'],3,Jacobs commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 ,x,,
Jacobs,"['2030', '2020', '2025']",['2040'],['2040'],4,base year and commits to reduce absolute scope 3 GHG emissions from business travel and ,,,
Jacobs,"['2030', '2020', '2025']",['2040'],['2040'],5,employee commuting 50% over the same timeframe,,,
Jacobs,"['2030', '2020', '2025']",['2040'],['2040'],6,Jacobs also commits that 65% of its ,,,
Jacobs,"['2030', '2020', '2025']",['2040'],['2040'],7,suppliers by spend covering purchased goods and services will have science-based targets by ,,,
Jacobs,"['2030', '2020', '2025']",['2040'],['2040'],8,2025,x,,
Jacobs,"['2030', '2020', '2025']",['2040'],['2040'],9,Long-Term Targets,,,
Jacobs,"['2030', '2020', '2025']",['2040'],['2040'],10,"Jacobs commits to reduce absolute scope 1, 2 & 3 GHG emissions 90% by 2040 from a 2019 ",,x,x
Jacobs,"['2030', '2020', '2025']",['2040'],['2040'],11,base year,,,
Jaguar Land Rover Automotive plc,"['FY2030', '2030']",,,0,Jaguar Land Rover Automotive PLC commits to reduce absolute scope 1 and 2 GHG emissions by 46% by FY2030 from a FY2020 base year,x,,
Jaguar Land Rover Automotive plc,"['FY2030', '2030']",,,1,Jaguar Land Rover Automotive PLC also commits to reduce scope 3 GHG emissions from purchased goods and services and use of sold products 54% per vehicle sold by FY2030 from a FY2020 base year,x,,
Jaguar Land Rover Automotive plc,"['FY2030', '2030']",,,2,"Within that target, Jaguar Land Rover Automotive PLC commits to reduce scope 3 GHG emissions from use of sold products by 60% per vehicle-kilometer within the same timeframe",,,
Jaguar Land Rover Automotive plc,"['FY2030', '2030']",,,3,Auto manufacturers have two near-term target temperature alignments for 1) scope 1 and 2 emissions and 2) scope 3 category 11 emissions from use of sold products,,,
Jamestown,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Jamestown,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Jamestown commits to reduce scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
"Japan Carbon Management Co., Ltd.",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"Japan Carbon Management Co., Ltd.",['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/ Japan Carbon Management Co,,,
"Japan Carbon Management Co., Ltd.",['2030'],,,2,", Ltd",,,
"Japan Carbon Management Co., Ltd.",['2030'],,,3,"commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
Japan Real Estate Investment Corporation,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Japan Real Estate Investment Corporation,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Japan Real Estate Investment Corporation commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
